Sequence Id,Country,ethnic_info,structure_population
ST786,Russia,Russian,hpEurope
ST787,Russia,Russian,hpEurope
ST788,Russia,Russian,hpEurope
ST805,Taiwan,Chinese,hspEAsia
ST808,Taiwan,Chinese,hspEAsia
ST809,Taiwan,Chinese,hspEAsia
ST810,Taiwan,Chinese,hspEAsia
ST811,Taiwan,Chinese,hspEAsia
ST812,Taiwan,Chinese,hspEAsia
ST829,Papua New Guinea,Highlander,hpSahul
ST830,Palestine,Palestinian,hpEurope
ST832,Lebanon,Lebanese,hpEurope
ST833,Netherlands,European,hpEurope
ST834,Taiwan,Native Taiwanese,hspEAsia
ST836,Spain,Basque,hpEurope
ST849,Australia,European,hpEurope
ST850,Australia,European,hpEurope
ST851,Australia,European,hpEurope
ST852,Australia,European,hpEurope
ST853,Australia,European,hpEurope
ST854,Japan,Japanese,hspEAsia
ST855,Spain,Basque,hpEurope
ST866,Morocco,-,hspWAfrica
ST867,Finland,Finn,hpEurope
ST868,Japan,Japanese,hspEAsia
ST869,Papua New Guinea,Highlander,hpSahul
ST870,Japan,Japanese,hspEAsia
ST871,Philippines,unknown,hspMaori
ST873,Taiwan,Native Taiwanese,hspMaori
ST879,Papua New Guinea,Highlander,hpSahul
ST885,Finland,Finn,hpEurope
ST890,Spain,Basque,hpEurope
ST891,Morocco,-,hpEurope
ST892,Thailand,Thai,hpAsia2
ST894,China,Chinese,hspEAsia
ST906,Venezuela,Mestizo,hpEurope
ST907,Spain,Basque,hpEurope
ST926,Australia,European,hpSahul
ST927,Taiwan,Native Taiwanese,hspMaori
ST929,Australia,European,hpEurope
ST935,Japan,Japanese,hspEAsia
ST939,Taiwan,Native Taiwanese,hspMaori
ST941,Germany,German,hpEurope
ST942,Germany,German,hpEurope
ST943,Vietnam,Vietnamese,hpEurope
ST944,Vietnam,Vietnamese,hspEAsia
ST946,Papua New Guinea,Highlander,hpSahul
ST952,Algeria,-,hspWAfrica
ST954,Germany,German,hpEurope
ST961,Spain,Basque,hpEurope
ST964,Russia,Russian,hpEurope
ST965,Australia,Aboriginal,hpSahul
ST966,Papua New Guinea,Highlander,hpSahul
ST967,Australia,Aboriginal,hpEurope
ST969,Taiwan,Native Taiwanese,hspEAsia
ST970,Australia,Aboriginal,hpEurope
ST971,Australia,Aboriginal,hpEurope
ST972,Australia,Aboriginal,hpEurope
ST973,Australia,Aboriginal,hpEurope
ST974,Australia,Aboriginal,hpSahul
ST975,Australia,Aboriginal,hpEurope
ST975,Australia,Aboriginal,hpEurope
ST976,Australia,Aboriginal,hpEurope
ST977,Australia,Aboriginal,hpEurope
ST978,Australia,Aboriginal,hpEurope
ST979,Australia,Aboriginal,hpEurope
ST980,Papua New Guinea,Highlander,hpSahul
ST981,Papua New Guinea,Highlander,hpSahul
ST983,Spain,Basque,hpEurope
ST984,Vietnam,Vietnamese,hspEAsia
ST985,Vietnam,Vietnamese,hspEAsia
ST986,Vietnam,Vietnamese,hspEAsia
ST987,Spain,Basque,hpEurope
ST992,Finland,Finn,hpEurope
ST996,Lebanon,Lebanese,hpEurope
ST1009,Australia,European,hpEurope
ST1010,Australia,European,hpEurope
ST1011,Australia,European,hpEurope
ST1012,Australia,European,hpEurope
ST1013,Australia,European,hpEurope
ST1014,Australia,European,hpEurope
ST1015,Australia,European,hpEurope
ST1016,Australia,European,hpEurope
ST1017,Turkey,Turk,hpEurope
ST1018,Palestine,Palestinian,hpEurope
ST1019,Palestine,Palestinian,hpEurope
ST1024,Russia,Russian,hpEurope
ST1026,Spain,Basque,hpEurope
ST1027,Turkey,Turk,hpEurope
ST1036,Korea,Korean,hspEAsia
ST1038,Taiwan,Native Taiwanese,hspMaori
ST1039,Egypt,Arabic,hpEurope
ST1042,Japan,Japanese,hspEAsia
ST1043,Taiwan,Native Taiwanese,hspMaori
ST1045,Papua New Guinea,Highlander,hpEurope
ST1047,Australia,Aboriginal,hpSahul
ST1049,Spain,Basque,hpEurope
ST1050,Russia,Russian,hpEurope
ST1052,Taiwan,Native Taiwanese,hspMaori
ST1054,Egypt,Arabic,hpEurope
ST1055,Australia,Aboriginal,hpEurope
ST1056,Australia,Aboriginal,hpEurope
ST1057,Australia,Aboriginal,hpEurope
ST1062,Australia,Aboriginal,hpEurope
ST1063,Australia,Aboriginal,hpEurope
ST1066,Spain,Basque,hpEurope
ST1067,Taiwan,Native Taiwanese,hspEAsia
ST1068,Spain,Basque,hpEurope
ST1069,Germany,German,hpEurope
ST1070,Thailand,Chinese,hpEurope
ST1071,Algeria,-,hpEurope
ST1072,Palestine,Palestinian,hpEurope
ST1073,Vietnam,Vietnamese,hspEAsia
ST1074,Vietnam,Vietnamese,hspEAsia
ST1075,Australia,European,hpEurope
ST1076,Australia,European,hpEurope
ST1077,Australia,European,hpEurope
ST1078,Australia,European,hpEurope
ST1079,Australia,European,hpEurope
ST1080,Australia,European,hpEurope
ST1081,Australia,European,hpEurope
ST1082,Australia,European,hpEurope
ST1083,Australia,European,hpEurope
ST1084,Australia,European,hpEurope
ST1085,Japan,Japanese,hspEAsia
ST1086,Palestine,Palestinian,hpEurope
ST1087,Palestine,Palestinian,hpEurope
ST1088,Palestine,Palestinian,hpEurope
ST1089,Palestine,Palestinian,hpEurope
ST1090,Palestine,Palestinian,hpEurope
ST1092,Venezuela,Mestizo,hpEurope
ST1098,Spain,Basque,hpEurope
ST1107,Taiwan,Native Taiwanese,hspMaori
ST1110,Philippines,-,hpEurope
ST1112,Colombia,Mestizo,hpEurope
ST1114,Belgium,European,hpEurope
ST1121,Australia,Aboriginal,hspMaori
ST1126,Taiwan,Native Taiwanese,hspMaori
ST1129,Taiwan,Native Taiwanese,hspEAsia
ST1134,Vietnam,Vietnamese,hspEAsia
ST1135,Vietnam,Vietnamese,hspEAsia
ST1136,Korea,Korean,duplicate
ST1137,Taiwan,Native Taiwanese,hspMaori
ST1141,Taiwan,Native Taiwanese,hspEAsia
ST1143,Australia,Aboriginal,hpEurope
ST1144,Australia,Aboriginal,hpEurope
ST1145,Australia,Aboriginal,hpEurope
ST1146,Australia,Aboriginal,hpEurope
ST1147,Australia,Aboriginal,hpEurope
ST1148,Australia,Aboriginal,hpEurope
ST1149,Australia,Aboriginal,hpEurope
ST1150,Australia,Aboriginal,hpEurope
ST1151,Australia,Aboriginal,hpEurope
ST1152,Australia,European,hpEurope
ST1153,Malaysia,unknown,hspEAsia
ST1154,China,Chinese,hspEAsia
ST1155,Malaysia,unknown,hpAsia2
ST1156,Malaysia,unknown,hspEAsia
ST1158,Taiwan,Native Taiwanese,hspMaori
ST1161,Papua New Guinea,Highlander,hpSahul
ST1170,Taiwan,Native Taiwanese,hspMaori
ST1170,Taiwan,Native Taiwanese,hspMaori
ST1172,Oman,-,hpEurope
ST1173,Japan,Japanese,hspEAsia
ST1176,Spain,Basque,hpEurope
ST1177,Turkey,Turk,hpEurope
ST1178,Australia,Aboriginal,hpEurope
ST1179,Australia,European,hpEurope
ST1180,Australia,European,hpEurope
ST1181,Somalia,Arabic,hpNEAfrica
ST1182,Australia,European,hpEurope
ST1183,Australia,European,hpEurope
ST1184,Australia,European,hpEurope
ST1185,Australia,European,hpEurope
ST1186,Australia,European,hpEurope
ST1187,Australia,European,hpEurope
ST1188,Australia,European,hpEurope
ST1189,Australia,European,hpEurope
ST1191,Netherlands,European,hpEurope
ST1192,Japan,Japanese,hspEAsia
ST1194,Russia,Russian,hpEurope
ST1195,Malaysia,unknown,hspEAsia
ST1205,Netherlands,European,hpEurope
ST1206,New Caledonia,Melanesian,hspMaori
ST1207,Colombia,Mestizo,hspWAfrica
ST1209,New Caledonia,Melanesian,hspMaori
ST1209,New Caledonia,Polynesian,hspMaori
ST1211,New Caledonia,Melanesian,hpEurope
ST1214,Spain,Basque,hpEurope
ST1216,Spain,Basque,hpEurope
ST1217,Thailand,Thai,hpEurope
ST1218,Thailand,Thai,hpAsia2
ST1219,Thailand,Thai,hpEurope
ST1220,Thailand,Thai,hpAsia2
ST1221,Thailand,Chinese,hspEAsia
ST1222,Thailand,Chinese,hspEAsia
ST1223,Thailand,Chinese,hspEAsia
ST1224,Papua New Guinea,Highlander,hpSahul
ST1225,Papua New Guinea,Highlander,hpSahul
ST1228,Japan,Japanese,hspEAsia
ST1229,Taiwan,Native Taiwanese,hspEAsia
ST1230,Taiwan,Native Taiwanese,hspMaori
ST1234,Somalia,Arabic,hpNEAfrica
ST1235,Spain,Basque,hpEurope
ST1236,China,Chinese,hspEAsia
ST1237,China,Chinese,hspEAsia
ST1238,Spain,Basque,hpEurope
ST1247,Russia,Russian,hpEurope
ST1248,Russia,Russian,hpEurope
ST1249,Japan,Japanese,hspEAsia
ST1250,Spain,Basque,hpEurope
ST1256,Taiwan,Native Taiwanese,hspMaori
ST1257,Papua New Guinea,Highlander,hpSahul
ST1258,Australia,Aboriginal,hpEurope
ST1258,Australia,Aboriginal,hpEurope
ST1259,Australia,Aboriginal,hpSahul
ST1260,Australia,Aboriginal,hpEurope
ST1261,Australia,Aboriginal,hpSahul
ST1262,Australia,Aboriginal,hpEurope
ST1263,Australia,Aboriginal,hpEurope
ST1264,Australia,Aboriginal,hpEurope
ST1265,Australia,Aboriginal,hpEurope
ST1266,Australia,Aboriginal,hpSahul
ST1267,Australia,Aboriginal,hpEurope
ST1268,Australia,Aboriginal,hpEurope
ST1269,Japan,Japanese,hspMaori
ST1270,Papua New Guinea,Highlander,hpSahul
ST1271,Australia,Aboriginal,hpSahul
ST1272,Australia,Aboriginal,hpEurope
ST1273,Australia,Aboriginal,hspSAfrica
ST1274,Australia,European,hpEurope
ST1275,Australia,European,hpEurope
ST1276,Australia,European,hpEurope
ST1277,Australia,European,hpEurope
ST1278,Australia,European,hpEurope
ST1279,Australia,European,hpEurope
ST1280,Australia,European,hpEurope
ST1281,Australia,European,hpEurope
ST1282,Australia,European,hpEurope
ST1283,Australia,European,hpEurope
ST1288,Nigeria,Kanuri,hpNEAfrica
ST1289,Russia,Russian,hpEurope
ST1291,Malaysia,unknown,hspEAsia
ST1293,Turkey,Turk,hpEurope
ST1307,Philippines,unknown,hpAsia2
ST1312,Netherlands,European,hpEurope
ST1315,Netherlands,European,hpAsia2
ST1316,New Caledonia,Melanesian,hpEurope
ST1324,Japan,Japanese,hspEAsia
ST1326,Peru,-,hpEurope
ST1327,Taiwan,Native Taiwanese,hspMaori
ST1328,Australia,Aboriginal,hpSahul
ST1329,Russia,Russian,hpEurope
ST1330,Australia,Aboriginal,hpEurope
ST1332,Australia,Aboriginal,hpEurope
ST1334,Spain,Basque,hpEurope
ST1335,Spain,Basque,hpEurope
ST1336,Australia,Aboriginal,hspWAfrica
ST1337,Philippines,-,hpEurope
ST1338,Philippines,-,hpEurope
ST1339,Philippines,-,hpEurope
ST1340,Australia,Aboriginal,hpEurope
ST1341,Philippines,unknown,hpAsia2
ST1342,Philippines,unknown,hpAsia2
ST1347,China,Chinese,hspEAsia
ST1349,China,Chinese,hspEAsia
ST1352,Spain,Basque,hpEurope
ST1353,Taiwan,Native Taiwanese,hspMaori
ST1356,Papua New Guinea,Highlander,hpSahul
ST1357,Australia,Aboriginal,hpSahul
ST1358,Saudi Arabia,Arabic,hpEurope
ST1359,Vietnam,Vietnamese,hpEurope
ST1360,Papua New Guinea,Highlander,hpSahul
ST1361,Taiwan,Native Taiwanese,hspEAsia
ST1362,Jordan,Arabic,hpEurope
ST1363,Vietnam,Vietnamese,hspEAsia
ST1369,Taiwan,Native Taiwanese,hspMaori
ST1370,Taiwan,Native Taiwanese,hspMaori
ST1371,Taiwan,Native Taiwanese,hspMaori
ST1372,Taiwan,Native Taiwanese,hspMaori
ST1376,Australia,European,hpEurope
ST1377,Australia,European,hpEurope
ST1378,Australia,European,hpEurope
ST1379,Australia,European,hpEurope
ST1380,Australia,European,hpEurope
ST1381,Australia,European,hpEurope
ST1382,Australia,European,hpEurope
ST1383,Australia,European,hpEurope
ST1386,Spain,Basque,hpEurope
ST1387,Australia,European,hpEurope
ST1388,Australia,European,hpEurope
ST1389,Australia,Aboriginal,hspMaori
ST1390,Ethiopia,-,hpNEAfrica
ST1391,Ethiopia,-,hpNEAfrica
ST1392,Ethiopia,-,hpNEAfrica
ST1393,Ethiopia,-,hpNEAfrica
ST1394,Ethiopia,-,hpNEAfrica
ST1395,Ethiopia,-,hpNEAfrica
ST1396,Ethiopia,-,hpNEAfrica
ST1397,Ethiopia,-,hpNEAfrica
ST1399,Ethiopia,-,hpNEAfrica
ST1400,Australia,Aboriginal,hpSahul
ST1401,Australia,Aboriginal,hpEurope
ST1402,Australia,Aboriginal,hpEurope
ST1403,Australia,Aboriginal,hpEurope
ST1404,Australia,Aboriginal,hpSahul
ST1405,Australia,Aboriginal,hpEurope
ST1405,Australia,Aboriginal,hpEurope
ST1406,Australia,Aboriginal,hpEurope
ST1407,Australia,Aboriginal,hpEurope
ST1408,Australia,Aboriginal,hpSahul
ST1409,Morocco,-,hpEurope
ST1411,Thailand,unknown,hspEAsia
ST1417,Papua New Guinea,Highlander,hpEurope
ST1423,New Caledonia,Melanesian,hspEAsia
ST1423,New Caledonia,Polynesian,hspEAsia
ST1425,Papua New Guinea,Highlander,hpEurope
ST1426,Japan,Japanese,hspEAsia
ST1429,Colombia,Mestizo,hpEurope
ST1431,Kazakhstan,Kazakh,hpEurope
ST1432,Kazakhstan,Kazakh,hpAsia2
ST1434,Kazakhstan,Kazakh,hpEurope
ST1435,Kazakhstan,Kazakh,hpEurope
ST1436,Japan,Japanese,hspEAsia
ST1437,Spain,Basque,hpEurope
ST1438,Spain,Basque,hpEurope
ST1439,Spain,Basque,hpEurope
ST1441,Japan,Japanese,hspEAsia
ST1442,Taiwan,Native Taiwanese,hspMaori
ST1445,Australia,Aboriginal,hpEurope
ST1450,Australia,Aboriginal,hpEurope
ST1451,Australia,Aboriginal,hpSahul
ST1453,Australia,Aboriginal,hpSahul
ST1454,Australia,Aboriginal,hpSahul
ST1455,Australia,Aboriginal,hspWAfrica
ST1456,Australia,Aboriginal,hpEurope
ST1457,Germany,German,hpEurope
ST1458,Australia,European,hpEurope
ST1459,Australia,European,hpEurope
ST1460,Australia,European,hpEurope
ST1461,Australia,European,hpEurope
ST1461,Australia,European,hpEurope
ST1462,Australia,European,hpEurope
ST1463,Australia,European,hpEurope
ST1464,Australia,European,hpEurope
ST1465,Australia,European,hpEurope
ST1467,Australia,European,hpEurope
ST1469,Taiwan,Native Taiwanese,hspEAsia
ST1472,Jordan,Arabic,hpEurope
ST1474,Japan,Japanese,hspEAsia
ST1475,Taiwan,Native Taiwanese,hspMaori
ST1476,Taiwan,Native Taiwanese,hspMaori
ST1479,Algeria,-,hpNEAfrica
ST1480,Algeria,-,hpEurope
ST1487,Ethiopia,-,hpNEAfrica
ST1488,Ethiopia,-,hpNEAfrica
ST1489,Ethiopia,-,hpNEAfrica
ST1490,Ethiopia,-,hpNEAfrica
ST1491,Ethiopia,-,hpNEAfrica
ST1492,Ethiopia,-,hpNEAfrica
ST1493,Ethiopia,-,hpNEAfrica
ST1494,Ethiopia,-,hpNEAfrica
ST1495,Ethiopia,-,hpNEAfrica
ST1496,Ethiopia,-,hpNEAfrica
ST1497,Japan,Japanese,hspEAsia
ST1498,Germany,German,hpEurope
ST1499,Thailand,Thai,hpAsia2
ST1501,Thailand,Chinese,hspEAsia
ST1502,Thailand,Thai,hpEurope
ST1503,Thailand,Thai,hpAsia2
ST1512,Australia,European,hpEurope
ST1513,Australia,European,hpEurope
ST1514,Australia,European,hpEurope
ST1515,Australia,European,hpEurope
ST1516,Australia,European,hpEurope
ST1517,Australia,European,hpEurope
ST1518,Australia,European,hpEurope
ST1519,Australia,European,hpEurope
ST1520,Australia,European,hpEurope
ST1521,New Caledonia,Melanesian,hpEurope
ST1522,Australia,European,hpEurope
ST1523,Australia,European,hpEurope
ST1524,Australia,European,hpEurope
ST1525,Australia,European,hspSAfrica
ST1526,Australia,European,hpEurope
ST1527,Australia,European,hpEurope
ST1528,Australia,European,hpEurope
ST1529,Australia,European,hpEurope
ST1530,Australia,European,hpEurope
ST1538,Taiwan,Native Taiwanese,hspEAsia
ST1539,Thailand,unknown,hpAsia2
ST1540,Thailand,unknown,hspEAsia
ST1541,Thailand,unknown,hpAsia2
ST1542,Thailand,-,hpNEAfrica
ST1544,Thailand,unknown,hspEAsia
ST1545,Taiwan,Native Taiwanese,hspEAsia
ST1547,Taiwan,Native Taiwanese,hspMaori
ST1555,Germany,German,hpEurope
ST1556,Thailand,unknown,hspEAsia
ST1557,Germany,German,hpEurope
ST1558,Thailand,-,hpEurope
ST1559,Peru,unknown,hspAmerind
ST1563,Spain,Basque,hpEurope
ST1566,Spain,Basque,hpEurope
ST1567,Russia,Russian,hpEurope
ST1568,Australia,Aboriginal,hpSahul
ST1569,Russia,Russian,hpEurope
ST1570,Russia,Russian,hpEurope
ST1571,Russia,Russian,hpEurope
ST1572,Russia,Russian,hpEurope
ST1573,Russia,Russian,hpEurope
ST1575,France,European,hpEurope
ST1577,Spain,Basque,hpEurope
ST1578,Papua New Guinea,Highlander,hpSahul
ST1579,Taiwan,Native Taiwanese,hspMaori
ST1580,Australia,European,hspSAfrica
ST1582,Australia,Aboriginal,hpSahul
ST1590,Ethiopia,-,hpNEAfrica
ST1591,Ethiopia,-,hpNEAfrica
ST1592,Ethiopia,-,hpNEAfrica
ST1593,Ethiopia,-,hpNEAfrica
ST1594,Ethiopia,-,hpNEAfrica
ST1595,Ethiopia,-,hpNEAfrica
ST1596,Ethiopia,-,hpNEAfrica
ST1597,Ethiopia,-,hpNEAfrica
ST1598,Ethiopia,-,hpNEAfrica
ST1601,Venezuela,Mestizo,hpEurope
ST1602,Venezuela,Mestizo,hpEurope
ST1603,Palestine,Palestinian,hpEurope
ST1604,Palestine,Palestinian,hpEurope
ST1606,Thailand,Chinese,hspEAsia
ST1607,New Caledonia,Polynesian,hspMaori
ST1613,Australia,European,hpEurope
ST1614,Australia,European,hpEurope
ST1615,Australia,European,hpEurope
ST1616,Australia,European,hpEurope
ST1617,Australia,European,hpEurope
ST1618,Australia,European,hpEurope
ST1619,Australia,European,hpEurope
ST1620,Australia,European,hpEurope
ST1621,Australia,European,hpEurope
ST1622,Australia,European,hpEurope
ST1623,Taiwan,Native Taiwanese,hspMaori
ST1624,Australia,European,hpEurope
ST1625,Australia,European,hpEurope
ST1626,Australia,European,hpEurope
ST1627,Australia,European,hpEurope
ST1628,Australia,European,hpEurope
ST1629,Spain,Basque,hpEurope
ST1630,Spain,Basque,hpEurope
ST1631,Thailand,unknown,hspEAsia
ST1633,Thailand,unknown,hspEAsia
ST1635,Spain,Basque,hpEurope
ST1641,China,Chinese,hspEAsia
ST1645,China,Chinese,hspEAsia
ST1646,China,Chinese,hspEAsia
ST1647,China,Chinese,hspEAsia
ST1651,Korea,Korean,hspEAsia
ST1662,Taiwan,Native Taiwanese,hspMaori
ST1665,Thailand,unknown,hspEAsia
ST1667,Thailand,unknown,hpAsia2
ST1668,Thailand,unknown,hpAsia2
ST1669,Thailand,unknown,hspEAsia
ST1673,Japan,Japanese,hspEAsia
ST1674,Thailand,Chinese,hspEAsia
ST1675,China,Chinese,hspEAsia
ST1676,Taiwan,Chinese,hspEAsia
ST1677,Ethiopia,-,hpNEAfrica
ST1678,Ethiopia,-,hpNEAfrica
ST1679,Ethiopia,-,hpNEAfrica
ST1680,Ethiopia,-,hpNEAfrica
ST1681,Ethiopia,-,hpNEAfrica
ST1682,Ethiopia,-,hpNEAfrica
ST1684,Ethiopia,-,hpNEAfrica
ST1685,Ethiopia,-,hpNEAfrica
ST1694,Taiwan,Native Taiwanese,hspMaori
ST1696,Vietnam,Vietnamese,hspEAsia
ST1697,Spain,Basque,hpEurope
ST1699,New Caledonia,Polynesian,hspSAfrica
ST1700,Morocco,-,hspWAfrica
ST1702,Japan,Japanese,hspEAsia
ST1712,Taiwan,Native Taiwanese,hspMaori
ST1716,Egypt,Arabic,hpEurope
ST1717,Turkey,Turk,hpEurope
ST1718,Taiwan,Native Taiwanese,hspEAsia
ST1719,Taiwan,Native Taiwanese,hspMaori
ST1720,Spain,Basque,hpEurope
ST1721,Spain,Basque,hpEurope
ST1726,China,Chinese,hspEAsia
ST1727,Peru,-,duplicate
ST1728,Peru,-,hpEurope
ST1732,Germany,German,hpEurope
ST1733,Australia,Aboriginal,hpEurope
ST1733,Australia,Aboriginal,hpEurope
ST1733,Australia,Aboriginal,hpEurope
ST1733,Australia,Aboriginal,hpEurope
ST1736,Australia,Aboriginal,hpSahul
ST1746,Papua New Guinea,Highlander,hpSahul
ST1747,Papua New Guinea,Highlander,hpSahul
ST1748,Taiwan,Native Taiwanese,hspEAsia
ST1749,Papua New Guinea,Highlander,hpSahul
ST1753,Malaysia,unknown,hpAsia2
ST1754,Malaysia,unknown,hspEAsia
ST1755,Malaysia,unknown,hspEAsia
ST1756,Malaysia,unknown,hspEAsia
ST1757,Papua New Guinea,Highlander,hpSahul
ST1759,Vietnam,Vietnamese,hspEAsia
ST1762,Taiwan,Native Taiwanese,hspMaori
ST1763,Australia,Aboriginal,hpEurope
ST1763,Australia,Aboriginal,hpEurope
ST1765,Australia,Aboriginal,hpSahul
ST1774,Morocco,-,hspWAfrica
ST1775,Vietnam,Vietnamese,hspEAsia
ST1779,Russia,Russian,hpEurope
ST1787,New Caledonia,Melanesian,hspMaori
ST1788,New Caledonia,Melanesian,hpEurope
ST1789,New Caledonia,Melanesian,hspMaori
ST1790,New Caledonia,Melanesian,hspEAsia
ST1801,Italy,European,hpEurope
ST1802,Italy,European,hpEurope
ST1803,Italy,European,hpEurope
ST1804,Italy,European,hpEurope
ST1805,Italy,European,hpEurope
ST1806,Vietnam,Vietnamese,hspEAsia
ST1807,Spain,Basque,hpEurope
ST1810,Taiwan,Native Taiwanese,hspEAsia
ST1811,China,Chinese,hspEAsia
ST1812,China,Chinese,hspEAsia
ST1815,Taiwan,Native Taiwanese,hspMaori
ST1816,Taiwan,Native Taiwanese,hspMaori
ST1817,Taiwan,Native Taiwanese,hspMaori
ST1818,Spain,Basque,hpEurope
ST1820,Taiwan,Native Taiwanese,hspMaori
ST1821,Japan,Japanese,hspEAsia
ST1822,Australia,Aboriginal,hpEurope
ST1823,Philippines,-,hpEurope
ST1825,Australia,Aboriginal,hpEurope
ST1826,Vietnam,Vietnamese,hspEAsia
ST1841,Taiwan,Native Taiwanese,hspEAsia
ST1842,Taiwan,Native Taiwanese,hspEAsia
ST1843,Taiwan,Native Taiwanese,hspMaori
ST1849,New Caledonia,Melanesian,hpEurope
ST1850,New Caledonia,Melanesian,hspMaori
ST1851,New Caledonia,Melanesian,hspMaori
ST1858,Papua New Guinea,Highlander,hpSahul
ST1859,Papua New Guinea,Highlander,hpSahul
ST1862,Russia,Russian,hpEurope
ST1863,Taiwan,Native Taiwanese,hspMaori
ST1864,China,Chinese,hspEAsia
ST1865,China,Chinese,hspEAsia
ST1866,China,Chinese,hspEAsia
ST1867,China,Chinese,hspEAsia
ST1868,China,Chinese,hspEAsia
ST1869,China,Chinese,hspEAsia
ST1874,Japan,Japanese,hspEAsia
ST1875,Spain,Basque,hpEurope
ST1879,Germany,German,hpEurope
ST1880,Venezuela,Mestizo,hpEurope
ST1883,Australia,Aboriginal,hpEurope
ST1885,Australia,Aboriginal,hpSahul
ST1887,Australia,Aboriginal,hpSahul
ST1887,Australia,Aboriginal,hpSahul
ST1888,Australia,Aboriginal,hpSahul
ST1888,Australia,Aboriginal,hpSahul
ST1889,Australia,Aboriginal,hpEurope
ST1890,Australia,Aboriginal,hpSahul
ST1910,Japan,Japanese,hspEAsia
ST1911,Ethiopia,-,hpNEAfrica
ST1912,Ethiopia,-,hpNEAfrica
ST1913,Ethiopia,-,hpNEAfrica
ST1919,Lebanon,Lebanese,hpEurope
ST1920,Taiwan,Native Taiwanese,hspMaori
ST1921,Taiwan,Native Taiwanese,hspMaori
ST1930,Australia,Aboriginal,hpSahul
ST1931,Australia,Aboriginal,hpSahul
