Sequence Id,State,Region
A/Alaska/04/2009,Alaska,West
A/Arizona/01/2009,Arizona,West
A/Arizona/02/2009,Arizona,West
A/Arizona/03/2009,Arizona,West
A/Arizona/04/2009,Arizona,West
A/Arizona/06/2009,Arizona,West
A/Arizona/09/2009,Arizona,West
A/Arkansas/03/2009,Arkansas,South
A/Brawley/40081/2009,California,West
A/Brawley/40082/2009,California,West
A/California/04/2009,California,West
A/California/05/2009,California,West
A/California/06/2009,California,West
A/California/07/2009,California,West
A/California/08/2009,California,West
A/California/10/2009,California,West
A/California/11/2009,California,West
A/California/12/2009,California,West
A/California/13/2009,California,West
A/California/14/2009,California,West
A/California/17/2009,California,West
A/California/18/2009,California,West
A/California/19/2009,California,West
A/California/20/2009,California,West
A/California/24/2009,California,West
A/California/25/2009,California,West
A/California/27/2009,California,West
A/Colorado/03/2009,Colorado,West
A/Colorado/04/2009,Colorado,West
A/District_of_Columbia/01/2009,DC,South
A/District_of_Columbia/02/2009,DC,South
A/District_of_Columbia/03/2009,DC,South
A/Delaware/02/2009,Delaware,South
A/Delaware/03/2009,Delaware,South
A/Delaware/04/2009,Delaware,South
A/Delaware/05/2009,Delaware,South
A/Delaware/06/2009,Delaware,South
A/Delaware/07/2009,Delaware,South
A/Delaware/08/2009,Delaware,South
A/Florida/04/2009,Florida,South
A/Florida/09/2009,Florida,South
A/Florida/11/2009,Florida,South
A/Georgia/01/2009,Georgia,South
A/Hawaii/09/2009,Hawaii,West
A/Idaho/02/2009,Idaho,West
A/Illinois/01/2009,Illinois,Midwest
A/Illinois/04/2009,Illinois,Midwest
A/Indiana/09/2009,Indiana,Midwest
A/Indiana/12/2009,Indiana,Midwest
A/Iowa/04/2009,Iowa,Midwest
A/Kansas/02/2009,Kansas,Midwest
A/Kansas/03/2009,Kansas,Midwest
A/Kentucky/05/2009,Kentucky,South
A/Kentucky/06/2009,Kentucky,South
A/Kentucky/07/2009,Kentucky,South
A/Louisiana/02/2009,Louisiana,South
A/Louisiana/03/2009,Louisiana,South
A/Louisiana/04/2009,Louisiana,South
A/Louisiana/05/2009,Louisiana,South
A/Maine/03/2009,Maine,Northeast
A/Bethesda/SP506/2009,Maryland,South
A/Bethesda/SP508/2009,Maryland,South
A/Maryland/05/2009,Maryland,South
A/Silver_Spring/SP509/2009,Maryland,South
A/Silver_Spring/SP510/2009,Maryland,South
A/Massachusetts/06/2009,Massachusetts,Northeast
A/Massachusetts/07/2009,Massachusetts,Northeast
A/Massachusetts/08/2009,Massachusetts,Northeast
A/Michigan/02/2009,Michigan,Midwest
A/Michigan/04/2009,Michigan,Midwest
A/Michigan/05/2009,Michigan,Midwest
A/Minnesota/02/2009,Minnesota,Midwest
A/Minnesota/03/2009,Minnesota,Midwest
A/Missouri/02/2009,Missouri,Midwest
A/Missouri/03/2009,Missouri,Midwest
A/Montana/06/2009,Montana,West
A/Montana/07/2009,Montana,West
A/Nebraska/02/2009,Nebraska,Midwest
A/Nebraska/03/2009,Nebraska,Midwest
A/Nevada/03/2009,Nevada,West
A/Nevada/04/2009,Nevada,West
A/New_Hampshire/02/2009,New_Hampshire,Northeast
A/New_Jersey/01/2009,New_Jersey,Northeast
A/New_Jersey/02/2009,New_Jersey,Northeast
A/New_Jersey/03/2009,New_Jersey,Northeast
A/New_Jersey/04/2009,New_Jersey,Northeast
A/New_Mexico/04/2009,New_Mexico,West
A/New_York/1669/2009,New_York,Northeast
A/New_York/1682/2009,New_York,Northeast
A/New_York/04/2009,New_York,Northeast
A/New_York/05/2009,New_York,Northeast
A/New_York/06/2009,New_York,Northeast
A/New_York/08/2009,New_York,Northeast
A/New_York/09/2009,New_York,Northeast
A/New_York/10/2009,New_York,Northeast
A/New_York/11/2009,New_York,Northeast
A/New_York/12/2009,New_York,Northeast
A/New_York/13/2009,New_York,Northeast
A/New_York/14/2009,New_York,Northeast
A/New_York/15/2009,New_York,Northeast
A/New_York/16/2009,New_York,Northeast
A/New_York/17/2009,New_York,Northeast
A/New_York/18/2009,New_York,Northeast
A/New_York/19/2009,New_York,Northeast
A/New_York/20/2009,New_York,Northeast
A/New_York/21/2009,New_York,Northeast
A/New_York/22/2009,New_York,Northeast
A/New_York/23/2009,New_York,Northeast
A/New_York/24/2009,New_York,Northeast
A/New_York/25/2009,New_York,Northeast
A/New_York/26/2009,New_York,Northeast
A/New_York/27/2009,New_York,Northeast
A/New_York/28/2009,New_York,Northeast
A/New_York/30/2009,New_York,Northeast
A/New_York/3002/2009,New_York,Northeast
A/New_York/3007/2009,New_York,Northeast
A/New_York/3008/2009,New_York,Northeast
A/New_York/3012/2009,New_York,Northeast
A/New_York/3014/2009,New_York,Northeast
A/New_York/3049/2009,New_York,Northeast
A/New_York/3099/2009,New_York,Northeast
A/New_York/31/2009,New_York,Northeast
A/New_York/3100/2009,New_York,Northeast
A/New_York/3149/2009,New_York,Northeast
A/New_York/3166/2009,New_York,Northeast
A/New_York/3168/2009,New_York,Northeast
A/New_York/3169/2009,New_York,Northeast
A/New_York/3170/2009,New_York,Northeast
A/New_York/3172/2009,New_York,Northeast
A/New_York/3173/2009,New_York,Northeast
A/New_York/3176/2009,New_York,Northeast
A/New_York/3177/2009,New_York,Northeast
A/New_York/3178/2009,New_York,Northeast
A/New_York/3181/2009,New_York,Northeast
A/New_York/3183/2009,New_York,Northeast
A/New_York/3184/2009,New_York,Northeast
A/New_York/3185/2009,New_York,Northeast
A/New_York/3186/2009,New_York,Northeast
A/New_York/3187/2009,New_York,Northeast
A/New_York/3188/2009,New_York,Northeast
A/New_York/3189/2009,New_York,Northeast
A/New_York/3190/2009,New_York,Northeast
A/New_York/3191/2009,New_York,Northeast
A/New_York/3193/2009,New_York,Northeast
A/New_York/3194/2009,New_York,Northeast
A/New_York/3195/2009,New_York,Northeast
A/New_York/3196/2009,New_York,Northeast
A/New_York/3199/2009,New_York,Northeast
A/New_York/3201/2009,New_York,Northeast
A/New_York/3202/2009,New_York,Northeast
A/New_York/3203/2009,New_York,Northeast
A/New_York/3204/2009,New_York,Northeast
A/New_York/3205/2009,New_York,Northeast
A/New_York/3206/2009,New_York,Northeast
A/New_York/3207/2009,New_York,Northeast
A/New_York/3209/2009,New_York,Northeast
A/New_York/3210/2009,New_York,Northeast
A/New_York/3211/2009,New_York,Northeast
A/New_York/3214/2009,New_York,Northeast
A/New_York/3215/2009,New_York,Northeast
A/New_York/3218/2009,New_York,Northeast
A/New_York/3219/2009,New_York,Northeast
A/New_York/3220/2009,New_York,Northeast
A/New_York/3221/2009,New_York,Northeast
A/New_York/3222/2009,New_York,Northeast
A/New_York/3223/2009,New_York,Northeast
A/New_York/3225/2009,New_York,Northeast
A/New_York/3227/2009,New_York,Northeast
A/New_York/3230/2009,New_York,Northeast
A/New_York/3231/2009,New_York,Northeast
A/New_York/3232/2009,New_York,Northeast
A/New_York/3234/2009,New_York,Northeast
A/New_York/3235/2009,New_York,Northeast
A/New_York/3236/2009,New_York,Northeast
A/New_York/3237/2009,New_York,Northeast
A/New_York/3239/2009,New_York,Northeast
A/New_York/3240/2009,New_York,Northeast
A/New_York/3242/2009,New_York,Northeast
A/New_York/3243/2009,New_York,Northeast
A/New_York/3244/2009,New_York,Northeast
A/New_York/3245/2009,New_York,Northeast
A/New_York/3246/2009,New_York,Northeast
A/New_York/3247/2009,New_York,Northeast
A/New_York/3252/2009,New_York,Northeast
A/New_York/3253/2009,New_York,Northeast
A/New_York/3255/2009,New_York,Northeast
A/New_York/3257/2009,New_York,Northeast
A/New_York/3258/2009,New_York,Northeast
A/New_York/3259/2009,New_York,Northeast
A/New_York/3260/2009,New_York,Northeast
A/New_York/3261/2009,New_York,Northeast
A/New_York/3262/2009,New_York,Northeast
A/New_York/3263/2009,New_York,Northeast
A/New_York/3264/2009,New_York,Northeast
A/New_York/3265/2009,New_York,Northeast
A/New_York/33/2009,New_York,Northeast
A/New_York/3307/2009,New_York,Northeast
A/New_York/3313/2009,New_York,Northeast
A/New_York/3323/2009,New_York,Northeast
A/New_York/3324/2009,New_York,Northeast
A/New_York/3337/2009,New_York,Northeast
A/New_York/3338/2009,New_York,Northeast
A/New_York/3348/2009,New_York,Northeast
A/New_York/3351/2009,New_York,Northeast
A/New_York/3352/2009,New_York,Northeast
A/New_York/3354/2009,New_York,Northeast
A/New_York/3389/2009,New_York,Northeast
A/New_York/34/2009,New_York,Northeast
A/New_York/3408/2009,New_York,Northeast
A/New_York/3413/2009,New_York,Northeast
A/New_York/3418/2009,New_York,Northeast
A/New_York/3420/2009,New_York,Northeast
A/New_York/3449/2009,New_York,Northeast
A/New_York/3454/2009,New_York,Northeast
A/New_York/3455/2009,New_York,Northeast
A/New_York/3460/2009,New_York,Northeast
A/New_York/3463/2009,New_York,Northeast
A/New_York/3468/2009,New_York,Northeast
A/New_York/3469/2009,New_York,Northeast
A/New_York/3488/2009,New_York,Northeast
A/New_York/3498/2009,New_York,Northeast
A/New_York/3499/2009,New_York,Northeast
A/New_York/35/2009,New_York,Northeast
A/New_York/3501/2009,New_York,Northeast
A/New_York/3502/2009,New_York,Northeast
A/New_York/3509/2009,New_York,Northeast
A/New_York/3514/2009,New_York,Northeast
A/New_York/3516/2009,New_York,Northeast
A/New_York/3528/2009,New_York,Northeast
A/New_York/3529/2009,New_York,Northeast
A/New_York/3532/2009,New_York,Northeast
A/New_York/3534/2009,New_York,Northeast
A/New_York/3545/2009,New_York,Northeast
A/New_York/3551/2009,New_York,Northeast
A/New_York/3552/2009,New_York,Northeast
A/New_York/3563/2009,New_York,Northeast
A/New_York/3566/2009,New_York,Northeast
A/New_York/3567/2009,New_York,Northeast
A/New_York/3568/2009,New_York,Northeast
A/New_York/3651/2009,New_York,Northeast
A/New_York/37/2009,New_York,Northeast
A/New_York/3702/2009,New_York,Northeast
A/New_York/3715/2009,New_York,Northeast
A/New_York/3740/2009,New_York,Northeast
A/New_York/3895/2009,New_York,Northeast
A/New_York/3898/2009,New_York,Northeast
A/New_York/39/2009,New_York,Northeast
A/New_York/3992/2009,New_York,Northeast
A/New_York/4197/2009,New_York,Northeast
A/New_York/45/2009,New_York,Northeast
A/New_York/57/2009,New_York,Northeast
A/New_York/58/2009,New_York,Northeast
A/New_York/59/2009,New_York,Northeast
A/North_Carolina/05/2009,North_Carolina,South
A/North_Carolina/06/2009,North_Carolina,South
A/North_Dakota/04/2009,North_Dakota,South
A/Ohio/07/2009,Ohio,Midwest
A/Ohio/08/2009,Ohio,Midwest
A/Ohio/09/2009,Ohio,Midwest
A/Ohio/10/2009,Ohio,Midwest
A/Oklahoma/01/2009,Oklahoma,South
A/Oklahoma/02/2009,Oklahoma,South
A/Oklahoma/03/2009,Oklahoma,South
A/Oregon/04/2009,Oregon,West
A/Oregon/05/2009,Oregon,West
A/Oregon/06/2009,Oregon,West
A/Oregon/07/2009,Oregon,West
A/Pennsylvania/09/2009,Pennsylvania,Northeast
A/Pennsylvania/10/2009,Pennsylvania,Northeast
A/Rhode_Island/02/2009,Rhode_Island,Northeast
A/Rhode_Island/03/2009,Rhode_Island,Northeast
A/Rhode_Island/04/2009,Rhode_Island,Northeast
A/South_Carolina/09/2009,South_Carolina,South
A/South_Carolina/10/2009,South_Carolina,South
A/South_Dakota/04/2009,South_Dakota,Midwest
A/South_Dakota/05/2009,South_Dakota,Midwest
A/Tennessee/05/2009,Tennessee,South
A/Tennessee/07/2009,Tennessee,South
A/San_Antonio/PR921/2009,Texas,South
A/San_Antonio/PR922/2009,Texas,South
A/San_Antonio/PR923/2009,Texas,South
A/Texas/04/2009,Texas,South
A/Texas/05/2009,Texas,South
A/Texas/06/2009,Texas,South
A/Texas/07/2009,Texas,South
A/Texas/08/2009,Texas,South
A/Texas/09/2009,Texas,South
A/Texas/10/2009,Texas,South
A/Texas/11/2009,Texas,South
A/Texas/12/2009,Texas,South
A/Texas/15/2009,Texas,South
A/Texas/17/2009,Texas,South
A/Texas/19/2009,Texas,South
A/Texas/20/2009,Texas,South
A/Texas/22/2009,Texas,South
A/Texas/23/2009,Texas,South
A/Texas/28/2009,Texas,South
A/Texas/30/2009,Texas,South
A/Texas/31/2009,Texas,South
A/Texas/32/2009,Texas,South
A/Texas/34/2009,Texas,South
A/Texas/36/2009,Texas,South
A/Texas/37/2009,Texas,South
A/Texas/39/2009,Texas,South
A/Utah/02/2009,Utah,West
A/Utah/04/2009,Utah,West
A/Utah/05/2009,Utah,West
A/Utah/07/2009,Utah,West
A/Utah/10/2009,Utah,West
A/Utah/11/2009,Utah,West
A/Vermont/03/2009,Vermont,Northeast
A/Virginia/04/2009,Virginia,South
A/Virginia/05/2009,Virginia,South
A/Washington/07/2009,Washington,West
A/Washington/08/2009,Washington,West
A/Washington/09/2009,Washington,West
A/Washington/11/2009,Washington,West
A/Washington/12/2009,Washington,West
A/Washington/14/2009,Washington,West
A/Washington/18/2009,Washington,West
A/West_Virginia/01/2009,West_Virginia,South
A/Wisconsin/07/2009,Wisconsin,Midwest
A/Wisconsin/08/2009,Wisconsin,Midwest
A/Wisconsin/09/2009,Wisconsin,Midwest
A/Wisconsin/10/2009,Wisconsin,Midwest
A/Wisconsin/11/2009,Wisconsin,Midwest
A/Wisconsin/12/2009,Wisconsin,Midwest
